Розыгрыш|Дата проведения|Лототрон|Набор|Шар номер 1 Шар номер 2 Шар номер 3 Шар номер 4 Шар номер 5 Шар номер 6|победителей угадавших 2 номера|приз за 2 номеров|победителей угадавших 3 номера|приз за 3 номеров|победителей угадавших 4 номера|приз за 4 номеров|победителей угадавших 5 номеров|приз за 5 номеров|победителей угадавших 6 номеров|приз за 6 номеров|
1685|2017-05-31|А|3|2 8 10 16 35 45|10070|10|1345|24|60|740|1|55521|0|12200000|
1684|2017-05-27|А|2|3 11 20 31 40 44|11628|10|1450|27|89|589|2|32783|0|12120000|
1683|2017-05-24|Б|1|25 35 39 48 50 51|8991|10|1043|33|45|1046|1|58841|0|12040000|
1682|2017-05-20|А|1|5 9 14 16 19 41|9917|10|1247|24|74|547|2|25310|0|11960000|
1681|2017-05-17|А|2|10 14 23 24 26 45|8989|10|1100|28|63|667|0|0|0|11880000|
1680|2017-05-13|А|2|7 10 15 17 34 45|10348|10|1434|21|100|412|1|51568|0|11800000|
1679|2017-05-10|А|2|2 3 16 18 26 41|8375|10|1060|25|48|751|1|45109|0|11720000|
1678|2017-05-06|А|4|7 31 32 35 36 39|8169|10|887|34|29|1425|0|0|0|11640000|
1677|2017-05-03|Б|3|14 19 20 31 44 45|7331|10|905|28|32|1077|0|0|0|11580000|
1676|2017-04-29|А|4|19 25 27 34 36 45|8010|10|960|32|30|1394|1|52300|0|11500000|
1675|2017-04-26|Б|1|3 4 14 25 36 48|8627|10|1018|28|43|897|0|0|0|11420000|
1674|2017-04-22|Б|3|9 15 23 27 39 41|9119|10|1393|20|90|414|1|46623|0|11340000|
1673|2017-04-19|А|2|2 24 29 40 45 49|6418|10|716|38|34|1071|2|22777|0|11260000|
1672|2017-04-15|Б|1|8 10 16 24 48 49|8664|10|960|34|59|751|1|55428|0|11180000|
1671|2017-04-12|А|2|6 9 13 23 26 28|9027|10|1236|21|78|463|1|45210|0|11100000|
1670|2017-04-08|Б|1|17 23 28 33 50 51|8407|10|938|33|45|935|1|52598|0|11025000|
1669|2017-04-05|А|4|8 21 24 35 38 51|7808|10|894|31|46|808|0|0|0|10935000|
1668|2017-04-01|А|4|8 16 24 42 45 46|7846|10|990|29|46|843|1|48483|0|10850000|
1667|2017-03-29|Б|3|15 28 33 35 37 47|8261|10|1131|24|79|474|2|23415|0|10780000|
1666|2017-03-25|Б|2|20 21 36 38 45 50|7661|10|891|33|32|1252|1|50089|0|10700000|
1665|2017-03-22|А|3|1 2 5 9 13 46|10463|10|1537|19|98|410|1|50228|0|10628000|
1664|2017-03-18|А|4|20 23 24 36 44 47|7262|10|771|39|32|1269|1|50763|0|10540000|
1663|2017-03-15|Б|2|3 21 23 27 32 52|9021|10|1186|25|59|671|0|0|0|10470000|
1662|2017-03-11|А|2|2 10 15 18 31 39|8288|10|1010|29|53|760|0|0|0|10370000|
1661|2017-03-08|Б|4|6 11 26 31 34 40|8639|10|1157|25|56|703|1|49263|0|10300000|
1660|2017-03-04|Б|2|2 21 27 33 48 50|9173|10|978|31|57|720|2|25684|0|10250000|
